User,Date Created,Number of Likes,Source of Tweet,Tweet
JRTurgeon13,2022-06-02 23:59:58+00:00,6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@geostylegeo I disagree. I think that morality came first and religion co-opted it. Morality issues were every day occurences. Religion came to 'explain' big (but rarer) events: life, death, afterlife."
yacan_day,2022-06-03 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@R66566 おはよう🎀
お互いにね(о´∀`о)"
natjarvis100,2022-06-03 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This week I’ve decided has been too much, like little man went to a taster day at pre school which is like proudly sad (parents will get it) and then to find out his little brother will be here no later than his birthday is just a lot. And other factors in as well. It’s been wild"
mkim83film,2022-06-03 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@fuse_sabo さぼさんありがとうございます😍✨
たしかに次のセンイルにはドキドキが高まってそう🫣💕🫣✨
さぼさんもHappy FUSE Day To You❤️"
J068downsouth,2022-06-03 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@haleykray Happy Birthday enjoy your day in your way! Hope it's filled with fun, happiness, peace and joy!"
Varodmar,2022-06-03 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@lizzyrrose Don’t know if one can controls dream but I remember when I younger I used be afraid of highs. I had this dream over and over that I was about to fall down from a mountain. I woke up very scared every time. One day in my dream I let go fell down. After that I didn’t have the dream
CoachFordHHS,2022-06-03 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Successful people are successful because they FEED THEIR MIND every day. They feed their mind with SUCCESS.

Just like a strong body needs the right nutrients to achieve peak condition, we also need the right information &amp; direction to achieve maximum success in any area of life."
munkibrain,2022-06-03 23:59:57+00:00,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","another day, another ‘̷͓͔̘̟̲̏̋͝-̷͖̻̹̰͖͓̗͋̿͋̈̿̓̾̉̊̽͜͠͝.̵̛̖̜͚̳̘͈̙̥͙̥̜̋̉̊”̶̲̭̩̩̗͉̖̋*̸̛̟̥͔̼̦̗͖̥̳͙̈́̃̌̂̚͝"
M_jeremiahh,2022-06-03 23:59:57+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Another sensational day
FullStackLogan,2022-06-03 23:59:57+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@jvpercy @KingMilkfart Even if it was only an effect of the zoom itself, the guy in the video is claiming that's what's happening and is still claiming to this day."
kkaystronger,2022-06-03 23:59:57+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@milkcartonart @persistingjen @pywacket_garcia @jayobtv Depends what’s in the syringe. If I’m allergic, hell yes I’m afraid of it. When I do a risk-to-benefit analysis, allergic reactions go negative column every day of the week and twice on Sunday."
yunggsoupp,2022-06-03 23:59:57+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",word of the day: https://t.co/8WB7wWZckm
hderful,2022-06-04 23:59:59+00:00,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Day 782 of tweeting #WAHderfulGoldenStar until #Waluigi, #Isaac and #Geno are in smash #AssistAlliance #SmashUltimate  #NintendoSwitch #Nintendo"
meltekinc,2022-06-04 23:59:59+00:00,3,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",Your quick #Checkpoint 📍 of the day: An example of something #ecofriendly and/or #energy saving that you did today #sustainable #Checkpoint #engage #environment
MonkzsFromDa9th,2022-06-04 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JakeBelieves @PlayApex @Respawn @EA @TSM_Albralelie @RSPN_JayBiebs I wish apex legend one day can be a solo experience, with the understanding that it was not intended to be so. I don’t know if the same 3 ppl who have the same exact time schedule to be on at the same exact time every time they wanted to play. This is why I solo."
s_thomas17,2022-06-04 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Why do we need a 2 day rest between game one and two of the NBA finals. Seems silly
ProperArtist,2022-06-04 23:59:58+00:00,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lol my mom saved some of the cards I made for my dad on Fathers Day back in 2002 &amp; 2003

Holy shit I’ve improved a lot lol https://t.co/JeTduU7TRP"
tobiocutie,2022-06-04 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@97hanmashuji jangan lupa sarapan, have a great day el!!"
taegyuaes,2022-06-04 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@day6confess gausah ditanya nder, KANGEN BGT WOY!!! gw awal2 jd my day dianya udh wamil hiks:"""
NYGBCpod,2022-06-04 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yeah. They’re just full on open fascism, and more brazen about it every day"
NevetsWa,2022-06-04 23:59:58+00:00,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@mikaelamattes B. But this was seriously the most energy I've put into anything all day
emjeyvlcs,2022-06-04 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pag walang nag myday sakin sa best friend day sa June 8, b-block ko kayong lahat"
markthemagician,2022-06-04 23:59:57+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Marie_Haynes Down about 10,000-15,000 users on one site per day. I’ve noticed the core update has seemingly targeted adult sites."
Tjupurru,2022-06-05 23:59:59+00:00,1,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","I've been to the little school out at Linville many years ago, the last 2 meetings they have trekked their way to Cooyar to catch up with the my Didjeribone Show. Another fun day during Reconciliation week! https://t.co/G4QsE8WKzs"
namexmexking,2022-06-05 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",If i could? i would spend every second of every day for the rest of our lives making it up to you..
1993Jum,2022-06-05 23:59:59+00:00,7,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good morning have a good day. 😊
Morning06 BAMBAM 
#WheelsUp #SlowMo #WhoAreYou #뱀뱀 #BamBam @BamBam1A @BAMBAMxABYSS  #GOT7 @GOT7 https://t.co/3uhGlzzhOc"
GiftOgechi10,2022-06-05 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otamiemie king is plus one 

WHITEMONEY DAY UNLOCKED 
ODOGWU TATI ONE
ALL ABOUT WHITEMONEY
#HappyBirthdayWhitemoney
#WorldWhitemoneyDay"
mommyclaireann,2022-06-05 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","☀️Wake up every morning and say, “Father, thank You for another beautiful day. I will be happy. I will enjoy this day. I will brighten somebody else’s life. I am choosing to receive Your gift of joy.

#CENTimyento #MondayBoosters #deCLAIREabundANNce https://t.co/G57aTzi5gJ"
